brokerageSlabCode, clientID, brokerageType, slabType, segment, TradingAmount,tradePrice, quantity, brokerageOfferper, brokerageOfferAmt, perAmount, amtAmount
B101,121653,R,T,CASH,31992.5,1279.7,25,0.01,0.0,3.19925,0.0
B303,121443,R,T,CASH,23420.0,234.2,100,0.03,0.0,7.026,0.0
B303,121443,R,T,CASH,23300.0,233.0,100,0.03,0.0,6.99,0.0
B303,121443,R,T,CASH,20265.0,202.65,100,0.03,0.0,6.0794999999999995,0.0
B303,121443,R,T,CASH,4023.0,201.15,20,0.03,0.0,1.2069,0.0
B303,121443,R,T,CASH,16092.0,201.15,80,0.03,0.0,4.8276,0.0
B303,121443,R,T,CASH,1034.0,206.8,5,0.03,0.0,0.3102,0.0
B303,121443,R,T,CASH,1034.0,206.8,5,0.03,0.0,0.3102,0.0
B303,121443,R,T,CASH,1034.0,206.8,5,0.03,0.0,0.3102,0.0
B303,121443,R,T,CASH,1034.0,206.8,5,0.03,0.0,0.3102,0.0
B303,121443,R,T,CASH,1034.0,206.8,5,0.03,0.0,0.3102,0.0
B303,121443,R,T,CASH,1034.0,206.8,5,0.03,0.0,0.3102,0.0
B303,121443,R,T,CASH,1034.0,206.8,5,0.03,0.0,0.3102,0.0
B303,121443,R,T,CASH,1034.0,206.8,5,0.03,0.0,0.3102,0.0
B303,121443,R,T,CASH,1034.0,206.8,5,0.03,0.0,0.3102,0.0
B303,121443,R,T,CASH,1034.0,206.8,5,0.03,0.0,0.3102,0.0
B303,121443,R,T,CASH,1043.5,208.7,5,0.03,0.0,0.31305,0.0
B303,121443,R,T,CASH,9391.5,208.7,45,0.03,0.0,2.81745,0.0
B303,121443,R,T,CASH,1021.0,204.2,5,0.03,0.0,0.3063,0.0
B303,121443,R,T,CASH,9189.0,204.2,45,0.03,0.0,2.7567000000000004,0.0
B303,121443,R,T,CASH,1028.0,205.6,5,0.03,0.0,0.3084,0.0
B303,121443,R,T,CASH,9252.0,205.6,45,0.03,0.0,2.7756,0.0
B303,122190,R,T,CASH,1750.0,35.0,50,0.0,0.03,0.0,1.5
B303,122190,R,T,CASH,1788.5,36.5,49,0.0,0.03,0.0,1.47
B303,122190,R,T,CASH,36.5,36.5,1,0.0,0.03,0.0,0.03
B303,122190,R,T,CASH,4920.0,123.0,40,0.03,0.0,1.476,0.0
B303,122190,R,T,CASH,1230.0,123.0,10,0.03,0.0,0.369,0.0
B303,122190,R,T,CASH,2108.0,124.0,17,0.03,0.0,0.6324,0.0
B303,122190,R,T,CASH,4092.0,124.0,33,0.03,0.0,1.2275999999999998,0.0
B303,122190,R,T,CASH,3780.0,37.8,100,0.0,0.03,0.0,3.0
B303,122190,R,T,CASH,2007.5,40.15,50,0.0,0.03,0.0,1.5
B303,122190,R,T,CASH,2010.0,40.2,50,0.0,0.03,0.0,1.5
B202,120927,R,T,CASH,2603.3,185.95,14,0.02,0.0,0.52066,0.0
B202,120927,R,T,CASH,5578.5,185.95,30,0.02,0.0,1.1157000000000001,0.0
B202,120927,R,T,CASH,372.0,186.0,2,0.02,0.0,0.07440000000000001,0.0
B202,120927,R,T,CASH,10044.0,186.0,54,0.02,0.0,2.0088,0.0
B202,120927,R,T,CASH,9425.0,188.5,50,0.02,0.0,1.885,0.0
B202,120927,R,T,CASH,9432.5,188.65,50,0.02,0.0,1.8865,0.0
B202,120927,R,T,CASH,6250.0,125.0,50,0.02,0.0,1.25,0.0
B202,120927,R,T,CASH,6200.0,124.0,50,0.02,0.0,1.24,0.0
B202,120927,R,T,CASH,33150.0,331.5,100,0.02,0.0,6.63,0.0
B202,120927,R,T,CASH,33300.0,333.0,100,0.02,0.0,6.66,0.0
B202,120927,R,T,CASH,13800.0,138.0,100,0.02,0.0,2.76,0.0
B202,120927,R,T,CASH,13900.0,139.0,100,0.02,0.0,2.78,0.0
B202,120927,R,T,CASH,17675.0,707.0,25,0.02,0.0,3.535,0.0
B202,120927,R,T,CASH,17836.25,713.45,25,0.02,0.0,3.56725,0.0
B505,121261,R,T,CASH,5835.0,116.7,50,0.05,0.0,2.9175,0.0
B505,121261,R,T,CASH,17512.5,116.75,150,0.05,0.0,8.75625,0.0
B505,121261,R,T,CASH,23680.0,118.4,200,0.05,0.0,11.84,0.0
B505,121261,R,T,CASH,25340.0,126.7,200,0.05,0.0,12.67,0.0
B505,121261,R,T,CASH,6431.1,126.1,51,0.05,0.0,3.215550000000001,0.0
B505,121261,R,T,CASH,126.1,126.1,1,0.05,0.0,0.06305,0.0
B505,121261,R,T,CASH,18662.8,126.1,148,0.05,0.0,9.3314,0.0
B016,121385,R,T,CASH,9495.0,949.5,10,0.016,0.0,1.5192,0.0
B016,121385,R,T,CASH,9494.5,949.45,10,0.016,0.0,1.51912,0.0
B016,121385,R,T,CASH,19046.0,952.3,20,0.016,0.0,3.04736,0.0
B016,121385,R,T,CASH,35938.0,1796.9,20,0.016,0.0,5.7500800000000005,0.0
B016,121385,R,T,CASH,23076.95,1775.15,13,0.016,0.0,3.692312,0.0
B016,121385,R,T,CASH,12418.0,1774.0,7,0.016,0.0,1.9868800000000002,0.0
B016,121385,R,T,CASH,33300.0,333.0,100,0.016,0.0,5.327999999999999,0.0
B016,121385,R,T,CASH,13673.5,333.5,41,0.016,0.0,2.18776,0.0
B016,121385,R,T,CASH,9004.5,333.5,27,0.016,0.0,1.44072,0.0
B016,121385,R,T,CASH,1334.0,333.5,4,0.016,0.0,0.21344000000000002,0.0
B016,121385,R,T,CASH,33200.0,332.0,100,0.016,0.0,5.312,0.0
B016,121385,R,T,CASH,33100.0,331.0,100,0.016,0.0,5.296,0.0
B016,121385,R,T,CASH,33100.0,331.0,100,0.016,0.0,5.296,0.0
B016,121385,R,T,CASH,33375.0,333.75,100,0.016,0.0,5.34,0.0
B016,121385,R,T,CASH,3010.5,334.5,9,0.016,0.0,0.48168,0.0
B016,121385,R,T,CASH,11373.0,334.5,34,0.016,0.0,1.8196800000000002,0.0
B016,121385,R,T,CASH,15721.5,334.5,47,0.016,0.0,2.51544,0.0
B016,121385,R,T,CASH,3345.0,334.5,10,0.016,0.0,0.5352,0.0
B016,121385,R,T,CASH,16760.0,335.2,50,0.016,0.0,2.6816000000000004,0.0
B016,121385,R,T,CASH,3360.0,336.0,10,0.016,0.0,0.5376,0.0
B016,121385,R,T,CASH,30240.0,336.0,90,0.016,0.0,4.8384,0.0
B016,121385,R,T,CASH,7403.0,336.5,22,0.016,0.0,1.18448,0.0
B016,121385,R,T,CASH,1667.5,333.5,5,0.016,0.0,0.2668,0.0
B016,121385,R,T,CASH,16675.0,333.5,50,0.016,0.0,2.668,0.0
B016,121385,R,T,CASH,13340.0,333.5,40,0.016,0.0,2.1344,0.0
B016,121385,R,T,CASH,1667.5,333.5,5,0.016,0.0,0.2668,0.0
B016,121385,R,T,CASH,18684.0,346.0,54,0.016,0.0,2.98944,0.0
B016,121385,R,T,CASH,15916.0,346.0,46,0.016,0.0,2.54656,0.0
B016,121385,R,T,CASH,17295.0,345.9,50,0.016,0.0,2.7672000000000003,0.0
B016,121385,R,T,CASH,17295.0,345.9,50,0.016,0.0,2.7672000000000003,0.0
B016,121385,R,T,CASH,691.8,345.9,2,0.016,0.0,0.110688,0.0
